Title	Designation	Points	Price	Appellation	TasterName	TasterTwitterHandle	TasterTitle	Variety	Winery	DatePublished	Category	BottleSize	Alcohol	Description
Dierberg 2016 Dierberg Vineyard Chardonnay (Santa Maria Valley)	Dierberg Vineyard	94	$32	Santa Maria Valley, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Chardonnay	Dierberg	7/1/2019	White	750 ml	13.2%	The fascinating nose of this bottling is driven by wet stone, yet it also touches on orange rinds, fresh chives, lemongrass balm and a nearly basil-like aromatic without the green spice. It's lively on the palate with flint and crushed stone, showing very fresh and acid-driven flavors of lemon and ash, riding a firm tension through the sip.
Ebner-Ebenauer 2016 Black Edition Grüner Veltliner (Niederösterreich)	Black Edition	94	N/A	Niederösterreich, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Grüner Veltliner	Ebner-Ebenauer	7/1/2019	White	750 ml	13%	Something heady, something fresh, something green and something vigorous rises from the glass alongside the creaminess of oak. The milky balm of aloe vera is combined with ferns, fresh hay and tingling white pepper. There is an edge of vanilla, too, complemented by spiky lemon. Layers of flavor shimmer to present a picture of concentrated, buffered but fresh savoriness. Drink now–2035.
Lombard et Cie NV Avize Grand Cru Lieu-Dit Chemin de Flavigny Brut Nature Chardonnay (Champagne)	Avize Grand Cru Lieu-Dit Chemin de Flavigny Brut Nature	94	$100	Champagne, Champagne, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Chardonnay	Lombard et Cie	7/1/2019	Sparkling	750 ml	12.5%	A limited-production wine from the from the Côte des Blancs. It is tightly textured, very crisp, mineral and fresh. Bright citrus and green-apple flavors will soften as the wine matures. It should not be drunk before 2021.
Latta 2015 Dana Dibble Freewater Rocks Vineyard Syrah (Walla Walla Valley (WA))	Dana Dibble Freewater Rocks Vineyard	94	$45	Walla Walla Valley (WA), Columbia Valley, Washington, US	Sean P. Sullivan	@wawinereport	Contributing Editor	Syrah	Latta	7/1/2019	Red	750 ml	14.1%	This is the winery's first offering of Syrah. There's no mistaking the fruit comes from The Rocks District, with the area's hallmark aromas of olive, fire pit, charcuterie, plum, dried herb, orange peel and parsley that are intense but still show a sense of subtlety. The palate is textured and rich but still in balance, full of fruit and savory flavors. An insanely long, 30-second-plus finish caps it off. One of the wines of the vintage. Best after 2021.
Quinta de Soalheiro 2017 Reserva Alvarinho Alvarinho (Vinho Verde)	Reserva Alvarinho	94	$40	Vinho Verde, Portugal	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Alvarinho, Albariño	Quinta de Soalheiro	7/1/2019	White	750 ml	13%	Fermented and aged in oak, this is very different take on Alvarinho. The wood softens to acidity, which instead emphasizes the creaminess and ripeness of the rich fruit. It's ready to drink, although it will certainly age.
Donum 2016 Year of the Monkey Reserve Single Vineyard Pinot Noir (Russian River Valley)	Year of the Monkey Reserve Single Vineyard	94	$100	Russian River Valley, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Pinot Noir	Donum	7/1/2019	Red	750 ml	14.8%	This is a tightly wound, forceful and weighty wine that displays juicy black cherry and blackberry tones, complemented by firm, textured tannins and accents of clove and tobacco. It is an ageworthy style that should do well in the cellar. Enjoy 2026–2031.
Freeman 2016 Akiko's Cuvée Pinot Noir (Sonoma Coast)	Akiko's Cuvée	94	$75	Sonoma Coast, Sonoma, California, US	Jim Gordon	@gordone_cellars	Contributing Editor	Pinot Noir	Freeman	7/1/2019	Red	750 ml	14.1%	This is a vibrant, fruit-forward and firmly textured wine that offers fresh red- and black-cherry aromas accented by spice and earth. Medium to full in body, the wine has a luxurious mouthfeel and lingering finish. Considering its concentration and good structure, it will be best after 2023.
Roar 2017 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands)	Rosella's Vineyard	94	$62	Santa Lucia Highlands, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Roar	7/1/2019	Red	750 ml	14.8%	Lighter in the glass, this bottling is a somewhat more delicate style than usual for the Franscioni family, but just as delicious if not more so depending on preference. Aromas of raspberry, pomegranate and wild thyme lead into a palate that's loaded with strawberry, white pepper and bay leaf, finishing on vanilla cream.
Valdicava 2013 Madonna del Piano Riserva (Brunello di Montalcino)	Madonna del Piano Riserva	94	$300	Brunello di Montalcino, Tuscany, Italy	Kerin O’Keefe	@kerinokeefe	Italian Editor	Sangiovese	Valdicava	7/1/2019	Red	750 ml	14%	Earthy aromas of wild berry, new leather, truffle and exotic spice emerge from the glass. The concentrated, vibrant palate delivers dried black cherry, licorice, tobacco and black pepper alongside fine-grained tannins. Drink 2022–2029.
Pali 2016 Pali Vineyard Clone 2A Pinot Noir (Sta. Rita Hills)	Pali Vineyard Clone 2A	94	$69	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Pali	7/1/2019	Red	750 ml	14.3%	Intense black raspberry fruit meets with sagebrush, bay leaf and peppercorn on the extremely complex and inviting nose of this clonal selection. The palate is taut and wound up with bright and expressive red-fruit flavors that are lifted with pinches of cinnamon, marjoram and orange rind.
Lange 2017 Estate Chardonnay (Dundee Hills)	Estate	94	$65	Dundee Hills, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Chardonnay	Lange	7/1/2019	White	750 ml	13.4%	A big-shouldered, bold-flavored, impactfully dense style mixes ripe apple, Meyer lemon and a taste of pineapple in a wine with exceptional concentration. Aged in neutral wood, it picks up just a gentle lick of vanilla winding through the finish. Decant this wine, as it has the depth to reward extra-long aeration.
Wohlmuth 2017 Ried Edelschuh Riesling (Südsteiermark)	Ried Edelschuh	94	$22	Südsteiermark, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Riesling	Wohlmuth	7/1/2019	White	750 ml	13%	All manner of fruit rises gently from the glass. There is the obligatory citrus but that plays around ripe peach, and tropical passion fruit, with its lemon and tangerine charm. The body is slender, sinuous and juicy, with ripe and mild but pure lemon freshness. A hint of creaminess is also present. This is an elegant and smooth Riesling with layers and layers of fruit. Drink 2020–2030.
Brooks Note 2016 Pinot Noir (Marin County)	null	94	$36	Marin County, North Coast, California, US	Jim Gordon	@gordone_cellars	Contributing Editor	Pinot Noir	Brooks Note	7/1/2019	Red	750 ml	13.9%	Bold, ripe and concentrated, this full-bodied wine is one of the bigger and more robust Pinot examples out there. Without obvious oakiness, it shows abundant flavors of black cherry, cranberry and sour cherry that are pure and focused. It shows excellent depth, ample acidity and a firm tannic that will help it improve with age. Best after 2023.
Lange 2016 Lange Estate Vineyard Pinot Noir (Dundee Hills)	Lange Estate Vineyard	94	$70	Dundee Hills, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Lange	7/1/2019	Red	750 ml	13.9%	The estate vineyard, planted in the late 1980s, is at optimal maturity, as this spicy, expressive and thoroughly captivating wine demonstrates. Lifted raspberry and black cherry fruit, aromatic and perfectly ripened, benefits from judiciously used new oak (35%), which adds toasty coffee flavors to the finish. There's a light touch of clean earth and a spicy pine scent underscoring the lovely fruit.
Slyd 2016 The Show Syrah (Happy Canyon of Santa Barbara)	The Show	94	$38	Happy Canyon of Santa Barbara, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	Slyd	7/1/2019	Red	750 ml	14.5%	Aromas of black cherry, cracked peppercorn and smoke make for a delicious combination on the nose of this bottling, one of the few Syrahs from Happy Canyon. The palate combines flavors of roasted pork, boysenberry and a dusting of black pepper to present a complete picture of the grape.
Caraccioli 2013 Méthode Champenoise Brut Rosé Sparkling (Santa Lucia Highlands)	Méthode Champenoise Brut Rosé	94	$60	Santa Lucia Highlands, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Sparkling Blend, Sparkling	Caraccioli	7/1/2019	Sparkling	750 ml	12%	A pleasing shade of pale yellowish-pink in the glass, this sparkler starts with aromas of chalk, wet cement, nectarine and grapefruit pith. The bubbles are precise on the palate, which snaps with a fresh tangerine rind flavor, but also offers a bit more broad orchard fruit flavors as well.
Dutton-Goldfield 2016 Emerald Ridge Vineyard Pinot Noir (Green Valley)	Emerald Ridge Vineyard	94	$68	Green Valley, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Pinot Noir	Dutton-Goldfield	7/1/2019	Red	750 ml	13.5%	From an east-facing knoll in the heart of the appellation, this is an earthy red showing barrel oak and tea accents lifted by bright acidity and ongoing freshness. Blueberry, pomegranate and rhubarb flavors mingle around layered tannins and a light body. The texture is taut yet lush, with a savory baking-spice component.
Tardieu-Laurent 2016 Côte Rôtie	null	94	$92	Côte Rôtie, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Rhône-style Red Blend	Tardieu-Laurent	7/1/2019	Red	750 ml	12.5%	This beautifully structured Côte-Rôtie balances ripe, concentrated black-cherry and plum flavors against elegant notes of fresh thyme, rosemary and bacon. It's penetrating and freshly fruited but vibrantly balanced in acidity. The finish is long, edged by finely integrated but gripping tannins.
Dutton-Goldfield 2016 Redwood Ridge Pinot Noir (Sonoma Coast)	Redwood Ridge	94	$62	Sonoma Coast, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Pinot Noir	Dutton-Goldfield	7/1/2019	Red	750 ml	14.4%	From a site also known as Putnum Vineyard, six miles from the Pacific Ocean in Annapolis, this is a gorgeously layered and herbal wine, fresh in flavors of black cherry and tangerine. Dense and lush in feel, it unwinds slowly with a brambly, savory nature. Enjoy 2026–2030.
Patricia Green Cellars 2017 Olenik Vineyard Wadensvil Block Pinot Noir (Chehalem Mountains)	Olenik Vineyard Wadensvil Block	94	$48	Chehalem Mountains, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Patricia Green Cellars	7/1/2019	Red	750 ml	13.9%	This clone seems to be a perfect fit in this location, yielding robust berry fruit further defined with sappy acids. Juicy citrus flavors underscore the berries, and despite its youth it's a tangy and quite appealing wine, with another decade of aging potential.
null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
Castelnau NV Hors Categorie CCF 2067 Extra Brut (Champagne)	Hors Categorie CCF 2067 Extra Brut	94	$159	Champagne, Champagne, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Champagne Blend, Sparkling	Castelnau	7/1/2019	Sparkling	750 ml	12.5%	Aged in wood, this wine has plenty of toastiness. It is dry, spicy with peppered white-fruit flavors that are crisp with plenty of acidity. It needs to age further, so wait to drink this bottling until 2021.
Delas Frères 2016 Les Bressards (Hermitage)	Les Bressards	94	$257	Hermitage, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Rhône-style Red Blend	Delas Frères	7/1/2019	Red	750 ml	14%	While decadently fruit-forward for Hermitage, this rich, unctuous wine maintains the region's characteristic minerality and earthen complexities. Ripe black-cherry and plum flavors are warmed by spicy notes of anise and caramelized sugar along with fine, smooth tannins. It's a ripe, rather potent expression of Syrah but finessed enough to improve through 2030 and likely hold further.
Beauregard 2017 Bald Mountain Vineyard Sand Hill Chardonnay (Ben Lomond Mountain)	Bald Mountain Vineyard Sand Hill	94	$65	Ben Lomond Mountain, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Chardonnay	Beauregard	7/1/2019	White	750 ml	N/A	There is a sharply mineral focus to the nose of this bottling, which shows aromas of wet gravel alongside lemon peel, lemon blossoms and a touch of ripe nectarine. It's very grippy on the palate, where chalky texture and flavors unveil lemon pith, river water and kumquat flavors.
Lombard et Cie NV Verzenay Grand Cru Lieu-Dit Les Corettes Brut Nature Pinot Noir (Champagne)	Verzenay Grand Cru Lieu-Dit Les Corettes Brut Nature	94	$100	Champagne, Champagne, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Pinot Noir	Lombard et Cie	7/1/2019	Sparkling	750 ml	12.5%	This limited-production wine comes from a parcel in Verzenay on the Montagne de Reims. Pure Pinot Noir gives weight, texture and almost a hint of tannins. As a Brut Nature, the wine is bone dry and will be best with a few years in bottle. Drink from 2020.
TW Ferm Co. 2015 Straight Cab Cabernet Sauvignon (Paso Robles)	Straight Cab	94	$64	Paso Robles, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Cabernet Sauvignon	TW Ferm Co.	7/1/2019	Red	750 ml	14.2%	Aromas of roasted cocoa, blackberry, loamy earth and dried herb show on the nose of this small-batch bottling, of which only 43 cases were made. There is a great vitality on the palate, where flavors of dark strawberry and black cherry meet with mocha, caramel and hoisin. The structure is firm with solid acidity.
Larner 2014 Metamorphic Syrah (Ballard Canyon)	Metamorphic	93	$100	Ballard Canyon, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	Larner	7/1/2019	Red	750 ml	14.9%	Lilacs, boysenberry, cracked pepper, lavender and toasty oak aromas show on the nose of this bottling, one of Michael Larner's geologic studies. It's lively on the palate with purple flowers, elderberry juice and peppercorn flavors, proving expressive and elegant.
Challen 2016 Peake Ranch Vineyard Pinot Noir (Sta. Rita Hills)	Peake Ranch Vineyard	94	$60	Sta. Rita Hills, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Challen	7/1/2019	Red	750 ml	14.2%	There is an earthy hearty core that seems to come from this new vineyard on the eastern edge of the Sta. Rita Hills, and it shows well in this bottling. Aromas of turned soil and porky game meet with pepper, thyme and strong red fruit on the nose, while the palate offers exotic cherry, mulberry, tangy herbs and more animal tones.
Château La Nerthe 2015 Cuvée des Cadettes Red (Châteauneuf-du-Pape)	Cuvée des Cadettes	94	$155	Châteauneuf-du-Pape, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Rhône-style Red Blend	Château La Nerthe	7/1/2019	Red	750 ml	14.5%	There's a rich, decadent core of black cherry, plum and strawberry in this wine, but it's layered with piquant accents of anise, smoke, earth and fur. It's richly fruity but freshly composed and fringed by fine, persistent tannins. Ready to drink now, it should improve through 2030.
Caraccioli 2016 Escolle Vineyard Chardonnay (Santa Lucia Highlands)	Escolle Vineyard	93	$35	Santa Lucia Highlands, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Chardonnay	Caraccioli	7/1/2019	White	750 ml	14.2%	From a winery focused primarily on sparkling wine comes this compelling Chardonnay, which offers aromas of Meyer lemon pith, fresh lime balm, white flowers and a touch of almond. The palate is tense and fresh, somehow both full and crisp, delivering flavors of plumeria, lily and citrus.
Joyce 2017 Submarine Canyon Pinot Noir (Monterey)	Submarine Canyon	93	$25	Monterey, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Pinot Noir	Joyce	7/1/2019	Red	750 ml	13.5%	This is a great entry-level wine from Russell Joyce, starting with aromas of candied Bing cherry, earthy forest floor and umami-laced shiitake mushrooms. The palate is bright and snappy with raspberry, marjoram, bay leaf and pine needle flavors, framed by taut tannins and brilliant acidity.
Quinta de Foz de Arouce 2015 Vinhas Velhas de Santa Maria Baga (Beira Atlantico)	Vinhas Velhas de Santa Maria	94	$70	Beira Atlantico, Portugal	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Baga, Portuguese Red	Quinta de Foz de Arouce	7/1/2019	Red	750 ml	14%	Produced from old Baga vines, this is an immensely powerful and impressive wine. Its richness comes through in the dark tannins as well as bold black fruits. It is a dense wine still with great potential. Drink from 2020.
null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
Domaine Jean-Michel Gerin 2016 La Landonne (Côte Rôtie)	La Landonne	94	$385	Côte Rôtie, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Syrah	Domaine Jean-Michel Gerin	7/1/2019	Red	750 ml	13.5%	Intensely penetrating layers of sweet spice, vanilla and smoke lend an unabashedly flashy demeanor to this unusually opulent Northern Rhône Syrah. Matured in 100% new oak, it will need some time in the cellar to allow its core of ripe blackberry and plum flavors plus nuances of mint and bramble to peek through. It's quite decadent now but should ease up a bit from 2023.
Jaffurs 2017 Stolpman Vineyard Roussanne (Ballard Canyon)	Stolpman Vineyard	93	$30	Ballard Canyon, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Roussanne	Jaffurs	7/1/2019	White	750 ml	13.5%	Roussanne is one of the white wines that will age for eons when done right, and this is a prime example. Restrained aromas of honey, almond, orange rind and brioche lead into a palate that's rich yet structured with flavors of creamy milk toast, marzipan, orange and hazelnut. Drink now through 2032.
Ann Albert 2017 Martian Ranch Gamay Noir (Santa Barbara County)	Martian Ranch	93	$34	Santa Barbara County, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Gamay Noir, Gamay	Ann Albert	7/1/2019	Red	750 ml	13.4%	This bottling by Talley winemaker Eric Johnson of a grape that shows incredible promise in this region slowly opens on the nose with aromas of fresh cranberry, wet gravel, lanolin and tart red plum. It's tightly wound on the palate, and spread its wings over the hours and days that it's opened into flavors of bright red currant, rainy cement and crushed stone.
Domaine de la Bégude 2016 La Brulade Red (Bandol)	La Brulade	94	$84	Bandol, Provence, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Red Blends	Domaine de la Bégude	7/1/2019	Red	750 ml	14%	This wine is produced from organic grapes, wood aged for 18 months and powered by ripe tannins and a balanced structure that molds rich fruit and acidity into an intense structure. Drink from 2023.
Domaine Drouhin Oregon 2016 Louise Pinot Noir (Dundee Hills)	Louise	94	$100	Dundee Hills, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Domaine Drouhin Oregon	7/1/2019	Red	750 ml	14.1%	This is the top of the line at DDO, an aromatic, almost sultry reserve barrel selection. The percentage of new oak seems to be higher than in the other 2016s, with brilliant cherry fruit matching the sweet toast. Best guess is tuck a few bottles away and start drinking in the mid-2020s; from there it could go another decade.
Elias Mora 2012 2V Premium (Toro)	2V Premium	93	$140	Toro, Northern Spain, Spain	Michael Schachner	@wineschach	Spanish and South American Editor	Tinta de Toro, Tempranillo	Elias Mora	7/1/2019	Red	750 ml	15%	Jammy blackberry, prune and chocolate aromas comprise a prototypical Toro nose. Raw tannins along with fresh acidity make for an intense palate that's nowhere near at peak, while this tastes of black fruits, toasty oak, chocolate and baking spices. On the finish, a residual oak flavor and related spice notes along with hard tannins suggest that you don't rush this. Drink through 2032.
Bellavista 2011 Vittorio Moretti Extra Brut (Franciacorta)	Vittorio Moretti Extra Brut	93	$120	Franciacorta, Lombardy, Italy	Kerin O’Keefe	@kerinokeefe	Italian Editor	Sparkling Blend, Sparkling	Bellavista	7/1/2019	Sparkling	750 ml	12.5%	Bread crust, chamomile and mature yellow stone fruit aromas mingle with whiffs of grilled herbs. The creamy, complex palate delivers ripe apricot, yellow apple and lemon zest alongside fennel seed and a hint of acacia honey. Fresh acidity brightens the rich flavors while an elegant perlage lends finesse. A hazelnut note lingers on the close.
Château Pesquié 2016 Artemia Syrah-Grenache (Ventoux)	Artemia	93	$45	Ventoux, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Syrah-Grenache, Rhône-style Red Blend	Château Pesquié	7/1/2019	Red	750 ml	14.5%	Artemia is Pesquié's prestige bottling sourced from Grenache and Syrah grown at high elevations and aged in 50% new oak. Ripe and opulent it juxtaposes fleshy black fruit against layers of olive, charcuterie and smoke. Concentrated yet elegant and silky, it drinks well already but should improve through 2026 and hold further.
Kelley Fox 2016 Maresh Vineyard Red Barn Blocks Pinot Noir (Dundee Hills)	Maresh Vineyard Red Barn Blocks	94	$75	Dundee Hills, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Kelley Fox	7/1/2019	Red	750 ml	13%	A block selection from vines planted in the early 1970s, this delicately expresses the complexity that such old soldiers are capable of when properly handled. Broadly tasting of strawberry and pie cherry fruit, this carries a touch of blood orange in the supple acidity. It lingers gracefully with gentle hints of toast and caramel.
Alain Jaume et Fils 2016 Vieux Terron Red (Châteauneuf-du-Pape)	Vieux Terron	93	$45	Châteauneuf-du-Pape, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Rhône-style Red Blend	Alain Jaume et Fils	7/1/2019	Red	750 ml	15%	While crisp blackberry and plum aromas are demure on the nose of this wine, they intensify and ripen on the palate. It's a bold, brawny, wine with densely concentrated, juicy black-fruit flavors. Approachably fruity, it's lifted by a crisp mineral finish and fine, feathery tannins. Drink now–2026.
The Calling 2016 Patriarch Pinot Noir (Sonoma Coast)	Patriarch	94	$70	Sonoma Coast, Sonoma, California, US	Virginie Boone	@vboone	Contributing Editor	Pinot Noir	The Calling	7/1/2019	Red	750 ml	14.5%	Bursting in energy and robust flavors of black tea and baked strawberry, this is a lush, plush and richly layered wine big in tannin and bright persistent acidity. Floral components of rose and lavender give it an inviting aromatic edge that complements the fruit.
Caliza 2016 Grenache (Paso Robles Willow Creek District)	null	93	$65	Paso Robles Willow Creek District, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Grenache	Caliza	7/1/2019	Red	750 ml	15.5%	Grenache is not known as the most ageworthy wine, but this bottling boasts all the bones to make it happen. Elegant aromas of boysenberry, lavender and dried red flowers lead into a tightly woven palate that combines ripe berries with gravelly minerality and stiff tannins. Drink 2020–2030.
Alheit 2017 Magnetic North Chenin Blanc (Citrusdal Mountain)	Magnetic North	94	$100	Citrusdal Mountain, South Africa	Lauren Buzzeo	@laurbuzz	Managing Editor	Chenin Blanc	Alheit	7/1/2019	White	750 ml	14%	Lemon balm, cinnamon bark, yellow field flowers, spiced orange tea, just-dried straw and lightly toasted apple skin all dance on the nose of this ethereal and superbly attractive wine. The mouthfeel is fruited and rounded yet balanced and textured all at once, with a lovely bitterness and a lick of salted butter that play against the ripe orchard and citrus fruit flavors. Lingering notes of waxy melon, orange rind and whole spice like nutmeg and allspice unfold on the long, lightly nutty finish. It's a charmer that's hard to resist, but will age well through 2030.
Lange 2016 Yamhill-Carlton Assemblage Pinot Noir (Yamhill-Carlton)	Yamhill-Carlton Assemblage	93	$70	Yamhill-Carlton, Willamette Valley, Oregon, US	Paul Gregutt	@paulgwine	Contributing Editor	Pinot Noir	Lange	7/1/2019	Red	750 ml	14.2%	This reserve level selection, sourced from Yamhill Vineyards, offers sweet black cherry fruit adorned with rich streaks of cola, caramel and espresso. These details are handled with a light touch, perfectly integrated into a seamless whole, and the finish is framed with toasty oak, one-third new.
Maison Denuzière 2015 Hermitage	null	93	$81	Hermitage, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Syrah	Maison Denuzière	7/1/2019	Red	750 ml	13%	The nose of this wine is initially subdued but opens to reveal intensely ripe, almost preserved notes of black plum and cherry. The product of a ripe vintage, it's a richer, more fruit-forward style of Hermitage than what's typical but maintains the appellation's brambly, granitic edges too. Drink now–2030.
Roar 2017 Soberanes Vineyard Chardonnay (Santa Lucia Highlands)	Soberanes Vineyard	93	$45	Santa Lucia Highlands, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Chardonnay	Roar	7/1/2019	White	750 ml	14.1%	Golden pear, browned butter and white-peach aromas are kissed by oak on the nose of this rich but balanced bottling. The creamy mouthfeel and poached apple flavors are leveled by lemon zest and a fresh tension, making the wine simultaneously lush and taut.
Rabl 2017 Ried Käferberg Alte Reben Reserve Grüner Veltliner (Kamptal)	Ried Käferberg Alte Reben Reserve	93	N/A	Kamptal, Austria	Anne Krebiehl MW	@AnneInVino	Contributing Editor	Grüner Veltliner	Rabl	7/1/2019	White	750 ml	13.5%	Earth, dandelion blossom and savory yeast combine on the nose to promise a full-flavored full-bodied wine. The palate obliges with concentrated texture and very yeasty savoriness that highlights white pepper and dried, crushed yarrow. This has a real savory mouthful, with a wonderfully dry finish.
Tardieu-Laurent 2016 Hermitage	null	93	$102	Hermitage, Rhône Valley, France	Anna Lee C. Iijima		Contributing Editor	Rhône-style Red Blend	Tardieu-Laurent	7/1/2019	Red	750 ml	13.5%	Perfumed whiffs of violet, anise and carmelized sugar lend warmth to this sultry, intensely fruity Syrah. It's moderately full and remarkably juicy in style but freshly balanced and framed by firm, persistent tannins. This ripe yet finessed expression of Hermitage is enjoyable now but should gain complexities through 2030.
Resalte 2015 Origen Crianza (Ribera del Duero)	Origen Crianza	93	$35	Ribera del Duero, Northern Spain, Spain	Michael Schachner	@wineschach	Spanish and South American Editor	Tempranillo	Resalte	7/1/2019	Red	750 ml	14.5%	This opaque big boy opens with dark fruit and crude oil aromas smeared with smoke. A deep, lush palate deals a ton of berry fruit, with flavors of blackberry, cassis and dark plum transitioning seamlessly onto a long finish graced by lemony oak. Drink through 2030.
Bodegas y Viñedos Tábula 2015 Tábula (Ribera del Duero)	Tábula	93	$45	Ribera del Duero, Northern Spain, Spain	Michael Schachner	@wineschach	Spanish and South American Editor	Tempranillo	Bodegas y Viñedos Tábula	7/1/2019	Red	750 ml	14.5%	Massive berry aromas come with no shortage of cinnamon and exotic spice notes. A grating palate with pounding tannins is like a tank not a sports car, while this tastes of blackberry, black tea, coffee and the same exotic spices that appear on the nose. Pepper and dark chocolate are the prime finishing flavors on this full-bodied Tinto Fino. Drink through 2028.
Vik 2014 Milla Cala Red (Cachapoal Valley)	Milla Cala	93	$45	Cachapoal Valley, Chile	Michael Schachner	@wineschach	Spanish and South American Editor	Red Blends	Vik	7/1/2019	Red	750 ml	14%	Ripe, spicy and elegant from the start, this Cabernet blend captures the essence of what Vik is doing in the Cachapoal Valley. Blackberry, prune, cedar, cigar tobacco and chocolate flavors are all noted, while this finishes with good clarity and body along with latent coffee, tobacco and oak flavors. Drink through 2024.
Joyce 2017 Tondre Grapefield Syrah (Santa Lucia Highlands)	Tondre Grapefield	93	$28	Santa Lucia Highlands, Central Coast, California, US	Matt Kettmann	@mattkettmann	Contributing Editor	Syrah	Joyce	7/1/2019	Red	750 ml	13.5%	Cool climate aromas of violet, cracked black peppercorns, savory roasted beef and elderberry fruits make for a very compelling entry to this bottling by Russell Joyce. The palate is zesty and loaded with pepper and purple flowers, set against a crisp boysenberry backdrop.
Peltier 2011 Schatz Family Reserve Teroldego (Lodi)	Schatz Family Reserve	93	$60	Lodi, Central Valley, California, US	Jim Gordon	@gordone_cellars	Contributing Editor	Teroldego, Italian Red	Peltier	7/1/2019	Red	750 ml	13.8%	This is a bold experiment in extended aging for a notoriously dark and dense Italian variety. The color is deep red at the rim and black within. Complex, spicy and evolved aromas are followed by ripe blackberry and dark chocolate flavors that are concentrated and lingering. While firmly tannic, the wine is not overly full bodied and maintains good balance that keeps it refreshing.
J. Dumangin Fils 2002 Cuvée Firmin Brut Nature Chardonnay (Champagne)	Cuvée Firmin Brut Nature	93	N/A	Champagne, Champagne, France	Roger Voss	@vossroger	European Editor, Reviews wines from Portugal and France	Chardonnay	J. Dumangin Fils	7/1/2019	Sparkling	750 ml	12%	This beautiful mineral-textured wine is 100% Chardonnay. Its taut texture, crisp acidity and citrus fruits contribute to a wine that, while now 17 years old, is still young and vibrant. Drink this bottling now.
Two Paddocks 2016 The First Paddock Pinot Noir (Central Otago)	The First Paddock	93	$80	Central Otago, New Zealand	Christina Pickard	@winewchristina	Contributing Editor	Pinot Noir	Two Paddocks	7/1/2019	Red	750 ml	13%	This is, hence the name, from proprietor and actor Sam Neill's first vineyard, planted in 1993. Don't let the slight barnyard funk put you off (after all, Burgundy excels at this aroma). It dissipates in glass, leaving in its wake something quite beautiful: fresh red cherries, whole bunch stalkiness, an array of florals and spice and a meaty undertone. It's silky, textured and plump-fruited, with a hearty grip of herbal savory tannins. As per usual with these wines, elegance, complexity and age-worthiness are the name of the game. Serve beside warming, gamy fare or cellar until 2027.
